id,study_area,study_area_type,country,continent,lat_mean,lon_mean,area,variable,surface,process,gpm_type,gpm_algorithm,record_start,record_end,record_length,temporal_scale,grid_scale,comparison_scale,comparison_method,downscale,grided,gauge_eval,radar_eval,model_eval,satellite_eval,timeseries_eval,categ_eval,best_perform,worst_perform,limitations,reference,year,journal,link
TAN16,Various regions,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,,IMERG_F,IMERG_V03,Apr-14,Dec-14,9,"3h,daily",0.1,"national,regional",grid-grid,F,0.1,hourly,,,TMPA_3B42V7,"COR,RMSE,Bias,ME","POD,FAR,CSI",coarser areas and times,"sub-daily, high-latitude, altitude, dry climates, complexterrains","Uneven gauage distribution, cannot detect precipitation smaller than 0.1 mm/h",Tang et al. 2015,2016,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169415009476
OLI16,Manus,Single region,Brazil,South America,-3.15,-59.99,38013,Rain,Land,Diurnal comparision,IMERG_F,IMERG_V03,Mar-14,Sep-14,7,"0.5h,monthly,seasonal",0.1,regional,"grid-grid,point-grid",I,,,0.5h,,,"COR,RMSE,Bias,SD","POD,FAR,CSI,SR",,"heavy rainfall classes, conv. storms, isolated convective rain cells.",very short time period  . No gauge observations,"Oliveira et al., 2016",2016,Remote Sensing,https://www.mdpi.com/2072-4292/8/7/544
LIU16,Global,Global,Global,Global,,,,Rain,Land/Ocean,,IMERG_F,IMERG_V03,,,6,"monthly,seasonal",0.25,national,grid-grid,I,,,,,"TMPA_3B43V7,TMPA_3B42V7","diff.mean,rel.diff.mean",,land,ocean,analysed only a single season. Monthly analysis,Liu 2016,2016,Journal of Hydrometeorology,https://journals.ametsoc.org/doi/full/10.1175/JHM-D-15-0068.1
CHE16,Various regions,Multiple regions,China,Asia,35.5,104,"96,00,000",Rain,Land,,IMERG_F,,Mar-14,Feb-15,12,"monthly,seasonal,annual",0.25,"national,regional",,I,,monthly,,,TRMM_3B43V7,"COR,RRMSE,RBias,SD",,"low latitudes, annual time scale (coarser areas and times)","winter, frozen precip, dry climates, complexterrains",TRMM product does not cover the whole Mainland China,"Chen and Li, 2016",2016,Remote Sensing,https://www.mdpi.com/2072-4292/8/6/472
SAH16,Upper Blue Nile Basin,Single region,Ethiopia,Africa,11,36.5,,Rain,Land,,"IMERG_FUncal,IMERG_FCal",IMERG_V03,May-14,Oct-14,6,"hourly,daily",0.1,basin,grid-grid,I,,"hourly,daily",,,CMORPH,"COR,NRMSE,Bias,MAE,MRE","POD,FAR,MRV",daily,hourly,"Only one gauge available within each satellite pixel, uneven dist","Sahlu et al., 2016",2016,Journal of Hydrometeorology,https://journals.ametsoc.org/
GAO16,Netherlands,National,Netherland,Europe,52.15,5.3,35000,Rain,Land,,"IMERG_FUncal,IMERG_FCal",IMERG_V03,Jun-14,Mar-15,10,"0.5h,daily,monthly,annual",0.1,basin,grid-grid,I,,,"0.5h,daily",,,"COD,RBias,CV","POD,VAR","monthly, annualy","30 min, daily",gauges are not independent,Gaona et al. 2016,2016,Journal of Hydrometeorology,https://journals.ametsoc.org/
MA16,Tibetan Plateau,Single region,China,Asia,32.5,90,,Rain,Land,,IMERG_F,IMERG_V03,Apr-14,Sep-14,6,"hourly,3h",0.1,basin,grid-grid,I,,"hourly,3h",,,TRMM_3B42V7,"COR,RMSE,RBias,SD","POD,VAR","3-hourly scale, light rainfall",elevations above 4200 m ,resampling and interpolation methods,"Ma et al., 2016",2016,Remote Sensing,https://www.mdpi.com/2072-4292/8/7/569
TAN16,Ganjiang River Basin,Single region,China,Asia,26.9,115.05,81258,Rain,Land,Hydrology,IMERG_F,IMERG_V03,May-14,Sep-14,5,daily,0.25,basin,grid-grid,I,0.25,daily,,,"TMPA_3B42V7,3B42RT","COR,RMSE,RBias,ME,SD,RMSD,NSCE",,better than TMPA statistically and hydrologically,basin scale is better than grid scale,"Small number of gauges, elatively humid and located at low- to midlatitude region","Tang et al., 2016",2016,Journal of Hydrometeorology,https://journals.ametsoc.org/
GUO16,China,National,China,Asia,35.5,104,"96,00,000",Rain,Land,,"IMERG_FUncal,IMERG_FCal",IMERG_V03,Mar-14,Feb-15,12,daily,0.25,"national,regional",grid-grid,I,,daily,,,TMPA_3B42V7,"COR,RMSE,Bias,RBias,FSE","POD,FAR,ETS",IMERG_Cal shows significant improvement,"winter, slight precip (NW China).","Uneven distribution of gauges, not fully independent, Regridded IMERG products","Guo et al., 2016",2016,Atmospheric Research,https://www.sciencedirect.com/science/article/pii/S0169809516300370
SHA16,Various regions,Multiple regions,Iran,Asia,,,,Rain,Land,,IMERG_F,IMERG_V03,Mar-14,Feb-15,12,"daily,monthly,seasonal",0.1,"national,regional",point-grid,F,,"daily,monthly,seasonal",,ERA-INTERIM,TMPA_3B42V7,"COR,RMSE,Bias,RBias,MB,MAE","POD,FAR,CSI",daily scale,mount. reg,Limited amount of synoptic stations,"Sharifi et al., 2016",2016,Remote Sensing,https://www.mdpi.com/2072-4292/8/2/135/htm
